Date,Index,D12,Rfree,fed_funds,VRP,ICS_ALL,pd,ff12_D,vrp3,sent12_D,ersf,ersf_t1,ersf_D,sent_x_ersf_D
2004-11-30,1173.82,19.349,0.001725,1.93,6.6873,92.8,60.66566747635537,0.9299999999999999,9.945100000000016,-0.9000000000000057,3.8296603845926827,3.201337953576079,2.430931775310854,-2.1878385977797823
2004-12-31,1211.92,19.442,0.001825,2.16,8.9618,97.1,62.335150704660016,1.1800000000000002,9.923633333333347,4.5,3.201337953576079,-2.5877308733249764,-0.6283224310166036,-2.827450939574716
2005-01-31,1181.27,19.703000000000003,0.0019416666666666668,2.28,5.7193,95.5,59.953814139978675,1.2799999999999998,7.122800000000015,-8.299999999999997,-2.5877308733249764,1.819508819603747,-5.7890688269010555,48.04927126327875
2005-02-28,1203.6,19.964000000000002,0.0021166666666666664,2.5,7.5783,94.1,60.288519334802636,1.49,7.419800000000014,-0.30000000000001137,1.819508819603747,-2.000066744211806,4.407239692928723,-1.322171907878667
2005-03-31,1180.59,20.225,0.0022833333333333334,2.63,8.7577,92.6,58.372805933250916,1.63,7.3517666666666805,-3.200000000000003,-2.000066744211806,-2.0981180925544787,-3.819575563815553,12.22264180420978
2005-04-30,1156.85,20.458333333333336,0.0023166666666666665,2.79,7.8733,87.7,56.54663951120162,1.79,8.06976666666668,-6.5,-2.0981180925544787,2.907587606191143,-0.09805134834267282,0.6373337642273733
2005-05-31,1191.5,20.69166666666667,0.0023666666666666667,3.0,6.82,86.9,57.58356826419653,2.0,7.817000000000014,-3.299999999999997,2.907587606191143,-0.11541859001258767,5.005705698745622,-16.51882880586054
2005-06-30,1191.33,20.925,0.002475,3.04,5.9874,96.0,56.93333333333333,2.01,6.893566666666682,0.4000000000000057,-0.11541859001258767,3.476130137465421,-3.0230061962037307,-1.2092024784815094
2005-07-31,1234.18,21.107000000000003,0.002683333333333333,3.26,5.2186,96.5,58.47254465343251,1.9999999999999998,6.008666666666682,-0.20000000000000284,3.476130137465421,-1.2651233477558836,3.591548727478009,-0.718309745495612
2005-08-31,1220.33,21.289,0.0028666666666666667,3.5,6.5591,89.1,57.32209122081826,2.0700000000000003,5.9217000000000155,-6.800000000000011,-1.2651233477558836,0.5565141805905007,-4.741253485221305,32.24052369950493
2005-09-30,1228.81,21.471000000000004,0.00285,3.62,5.3559,76.9,57.23114899166316,2.01,5.711200000000015,-17.299999999999997,0.5565141805905007,-1.9359483135897466,1.8216375283463844,-31.514329240392446
2005-10-31,1207.01,21.719333333333335,0.0030916666666666666,3.78,7.0583,74.2,55.573068541084744,2.0199999999999996,6.3244333333333485,-17.5,-1.9359483135897466,3.346946025486304,-2.4924624941802476,43.618093648154336
