close_higher,positive_close_higher
0.9,1
0.7894736842105263,1
0.34782608695652173,0
0.7619047619047619,1
0.2,0
1.0,1
0.0,0
0.5,1
0.6666666666666666,1
0.42857142857142855,0
1.0,1
0.9545454545454546,1
0.1,0
0.8947368421052632,1
0.36363636363636365,0
0.14285714285714285,0
0.9523809523809523,1
0.7272727272727273,1
0.85,1
0.2608695652173913,0
0.6190476190476191,1
0.23809523809523808,0
1.0,1
0.7142857142857143,1
0.75,1
0.5789473684210527,1
0.782608695652174,1
0.6842105263157895,1
0.36363636363636365,0
0.18181818181818182,0
0.7,1
1.0,1
0.95,1
1.0,1
0.8095238095238095,1
1.0,1
0.65,1
0.8421052631578947,1
0.4090909090909091,0
1.0,1
1.0,1
0.38095238095238093,0
0.6666666666666666,1
0.30434782608695654,0
1.0,1
0.6086956521739131,1
0.14285714285714285,0
0.65,1
0.047619047619047616,0
0.6,1
0.35,0
0.8636363636363636,1
0.6666666666666666,1
0.047619047619047616,0
0.22727272727272727,0
0.8095238095238095,1
0.047619047619047616,0
0.08695652173913043,0
0.2631578947368421,0
0.6363636363636364,1
0.3,0
0.10526315789473684,0
0.6363636363636364,1
1.0,1
0.85,1
0.5454545454545454,1
0.6363636363636364,1
0.9047619047619048,1
0.8571428571428571,1
0.6363636363636364,1
0.8,1
0.8181818181818182,1
0.631578947368421,1
0.47368421052631576,0
1.0,1
0.8571428571428571,1
0.05,0
0.4090909090909091,0
0.7142857142857143,1
0.3181818181818182,0
0.9523809523809523,1
1.0,1
0.5714285714285714,1
1.0,1
0.95,1
0.8947368421052632,1
0.30434782608695654,0
0.8,1
0.47619047619047616,0
0.13636363636363635,0
0.8,1
0.13043478260869565,0
0.42857142857142855,0
0.8095238095238095,1
0.42857142857142855,0
0.7619047619047619,1
1.0,1
1.0,1
0.9090909090909091,1
0.3,0
0.13636363636363635,0
0.6666666666666666,1
0.7619047619047619,1
0.9130434782608695,1
0.7894736842105263,1
0.38095238095238093,0
0.2857142857142857,0
0.85,1
1.0,1
0.8421052631578947,1
1.0,1
0.6818181818181818,1
0.9545454545454546,1
0.05,0
1.0,1
0.3181818181818182,0
0.75,1
0.7391304347826086,1
0.95,1
0.7142857142857143,1
0.6190476190476191,1
0.6842105263157895,1
0.7142857142857143,1
0.6666666666666666,1
0.8571428571428571,1
1.0,1
0.8181818181818182,1
0.5714285714285714,1
0.6190476190476191,1
0.391304347826087,0
1.0,1
0.7272727272727273,1
0.3,0
0.9473684210526315,1
0.45454545454545453,0
0.8095238095238095,1
0.65,1
0.3181818181818182,0
0.5909090909090909,1
0.19047619047619047,0
0.23809523809523808,0
0.9545454545454546,1
0.8,1
0.45454545454545453,0
0.05263157894736842,0
0.65,1
1.0,1
0.8095238095238095,1
0.3333333333333333,0
0.45454545454545453,0
1.0,1
0.782608695652174,1
0.47619047619047616,0
0.2857142857142857,0
0.8095238095238095,1
0.9523809523809523,1
0.9,1
1.0,1
0.6086956521739131,1
0.3157894736842105,0
0.8636363636363636,1
0.8636363636363636,1
0.7,1
0.391304347826087,0
1.0,1
1.0,1
0.9523809523809523,1
1.0,1
